ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_B,buggy_AG,buggy_MA,buggy_RA
1,2,14,3.15918,647,22,18.64,0,3,0.63,0.57,19,18.65,5,1,0,0,0
1,1,1,0.0,2,2,47.0,0,1,0.07,1.0,20,19.65,6,0,0,0,0
1,7,18,3.3253699999999995,463,526,193.33,0,5,2.61,1.0,4,3.94,1,1,0,0,1
1,2,2,0.8631209999999999,3,4,148.0,1,5,3.11,3.5,5,4.94,2,0,0,0,0
1,1,1,0.0,0,0,0.0,0,2,6.09,2.0,11,9.38,0,0,0,0,0
1,5,6,2.18381,105,98,360.33,0,4,10.21,2.5,6,5.81,3,0,0,0,0
1,3,5,1.13025,7,311,277.0,0,1,0.91,0.2,2,1.94,1,0,0,0,0
1,1,4,0.0,0,0,0.0,0,2,14.58,1.0,3,2.93,2,0,0,0,0
2,2,2,1.0,2,2,145.5,0,2,10.74,2.0,4,3.93,3,0,0,0,0
1,1,1,0.0,1,7,201.0,0,2,0.0,5.0,5,4.93,4,0,0,0,0
1,4,12,0.921834,0,30,76.5,0,2,2.21,0.58,6,5.93,5,0,0,0,0
1,1,2,0.9402860000000001,9,19,124.0,0,1,0.01,1.5,7,6.93,6,0,0,0,0
1,1,1,0.0,1,2,90.0,0,2,0.02,2.0,8,7.93,1,0,0,0,0
1,1,4,1.87621,338,0,0.0,0,0,0.0,0.0,9,8.91,7,1,0,0,0
1,1,1,0.0,92,43,161.0,0,1,3.17,1.0,10,9.91,8,1,0,1,1
1,13,28,4.31246,209,285,210.32,0,2,3.56,0.29,11,10.88,9,0,0,0,0
1,1,7,2.6800200000000003,1239,0,0.0,0,0,0.0,0.0,12,11.88,10,0,0,0,0
1,4,5,2.19434,23,29,150.4,0,5,18.5,2.0,13,12.85,11,0,0,0,0
1,1,2,0.959625,327,0,0.0,0,0,0.0,0.0,14,13.85,12,0,0,0,0
1,1,2,0.99403,25,8,103.0,0,1,4.81,0.5,15,14.74,13,1,1,1,1
1,1,1,0.0,3,3,160.0,0,1,4.96,2.0,16,15.69,14,0,0,0,0
1,1,1,0.0,1,2,112.0,0,1,7.32,2.0,17,16.42,15,0,0,0,0
2,3,6,1.0,2,2,48.33,0,3,12.29,2.33,18,17.38,18,0,0,0,0
1,1,9,3.04881,517,11,12.33,0,1,0.09,0.33,19,18.38,17,1,1,1,1
1,3,5,2.15522,22,14,110.8,0,5,20.91,2.2,20,19.37,18,0,0,0,0
1,2,3,1.04055,78,11,229.33,0,5,8.59,4.0,7,6.39,4,0,0,0,0
1,1,2,0.721928,1,9,130.0,0,5,0.06,5.0,8,7.39,5,0,0,0,0
1,1,3,0.7870050000000001,1,67,64.0,0,3,34.88,3.0,21,20.29,19,0,0,0,0
1,1,1,0.0,10,0,238.0,0,1,18.33,4.0,22,21.11,20,0,0,0,0
1,3,7,2.38572,876,321,66.14,0,1,4.83,0.29,23,22.1,21,1,0,0,1
1,4,5,1.80367,47,13,125.2,0,1,11.79,0.6,24,23.1,22,0,0,0,0
1,1,1,0.0,0,38,38.0,0,1,21.02,1.0,25,24.1,23,0,0,0,0
1,1,4,1.41544,117,10,47.0,0,1,10.56,0.25,26,25.1,24,0,0,0,0
1,5,5,1.96813,8,14,192.8,0,5,30.88,2.8,27,26.05,25,0,0,0,0
1,5,7,2.39825,98,13,234.71,0,1,20.76,0.43,28,27.03,26,0,0,0,0
1,1,1,0.0,1,1,449.0,0,3,31.5,9.0,29,27.92,27,0,0,0,0
1,2,3,1.0537299999999998,138,0,10.0,0,1,8.35,0.33,30,28.81,28,0,0,0,0
1,5,6,1.47358,151,24,107.83,0,1,25.08,0.5,31,28.91,29,0,0,0,0
1,1,1,0.0,0,130,130.0,0,1,36.78,1.0,32,29.91,30,0,0,0,0
1,9,15,3.79406,50,47,257.4,0,1,29.46,0.33,33,30.91,31,0,0,0,0
1,8,8,1.58907,49,54,180.5,0,1,26.16,1.0,34,31.9,32,0,0,0,0
1,3,13,3.66627,790,0,0.0,0,0,0.0,0.0,9,7.97,6,0,0,0,0
1,1,1,0.0,7,0,449.0,0,4,23.49,10.0,12,9.08,1,0,0,0,0
1,1,1,0.0,12,6,362.0,0,1,18.77,3.0,35,31.38,33,1,0,0,1
1,1,1,0.0,7,2,51.0,0,1,61.22,1.0,36,31.95,34,0,0,0,0
1,1,1,0.0,0,0,0.0,0,0,0.0,0.0,13,9.74,2,0,0,0,0
1,1,1,0.0,0,0,0.0,0,0,0.0,0.0,14,10.74,3,0,0,0,0
1,1,1,0.0,0,0,0.0,0,1,47.66,1.0,15,11.73,4,0,0,0,0
1,3,5,2.14743,29,0,179.2,0,1,61.52,0.8,37,32.34,35,0,0,0,0
1,3,4,1.7504099999999998,149,36,110.75,0,1,16.98,1.0,38,33.19,36,0,0,0,0
1,13,30,3.65581,104,104,268.13,0,5,77.94,1.13,39,34.01,37,0,0,0,0
1,15,75,5.59906,7549,2,6.08,0,4,0.47,0.15,16,12.22,5,1,0,0,0
1,1,1,0.0,1,1,248.0,0,1,63.22,5.0,40,34.1,38,0,0,0,0
2,3,6,1.52193,5,5,89.67,0,2,49.41,2.33,41,35.1,42,0,0,0,0
1,5,7,2.3437900000000003,52,28,110.57,0,1,40.66,0.57,42,36.09,40,1,0,0,0
1,10,22,4.1662300000000005,63,39,126.95,0,2,4.23,0.36,43,37.09,41,0,0,0,0
1,1,1,0.0,0,0,0.0,0,1,2.0,1.0,17,13.16,6,0,0,0,0
1,1,1,0.0,3,15,288.0,0,1,0.28,7.0,18,14.16,7,0,0,0,0
2,2,2,0.072537,112,2,145.0,0,2,5.02,5.5,21,16.09,13,0,0,0,0
1,5,10,2.8672299999999997,88,42,156.6,0,2,59.57,1.2,44,37.64,42,0,0,0,0
1,1,1,0.0,2,2,521.0,0,4,7.46,12.0,45,38.57,43,0,0,0,0
1,5,9,2.8468400000000003,13,29,146.22,0,4,78.09,1.89,46,39.55,44,0,0,0,0
1,1,2,0.998712,142,0,0.0,0,0,0.0,0.0,47,40.55,45,0,0,0,0
1,1,3,1.5595700000000001,124,91,96.67,0,1,4.03,1.33,48,41.55,46,0,0,0,1
1,2,3,1.5849600000000001,12,6,68.33,0,1,0.04,0.67,49,42.54,47,0,0,0,0
1,20,53,4.94339,520,327,157.0,0,2,47.83,0.43,50,43.36,48,1,0,0,0
1,8,11,2.0502,213,192,177.18,0,2,31.35,1.64,51,44.15,49,1,0,0,0
1,3,3,1.07671,43,39,362.67,0,1,31.38,2.0,52,45.14,50,1,1,1,1
1,1,1,0.0,4,2,127.0,0,1,91.59,2.0,53,46.13,51,0,0,0,0
1,2,3,0.592432,61,3,171.0,0,1,1.99,2.33,54,47.04,52,0,0,0,0
1,1,1,0.0,1,1,648.0,0,1,0.97,7.0,55,48.03,53,0,0,0,0
1,1,2,0.9852280000000001,9,5,66.0,0,1,93.59,1.0,56,48.9,54,0,0,0,0
1,10,28,4.21481,149,160,138.71,0,5,56.14,1.14,57,49.9,55,1,1,1,1
3,19,61,1.24909,564,72,96.85,0,4,23.66,0.57,22,16.81,15,1,1,1,1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,19,14.73,0,0,0,0,0
2,2,2,0.8453510000000001,17,5,237.0,0,1,0.76,0.5,20,15.73,3,0,0,0,0
1,1,1,0.0,1,0,468.0,0,2,0.02,2.0,21,16.73,1,0,0,0,0
2,9,22,3.9472400000000003,1407,129,49.55,0,3,4.15,0.18,22,17.73,10,1,1,1,1
2,8,18,0.0,0,0,94.56,0,1,7.58,0.11,23,18.73,12,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,24,19.73,0,0,0,0,0
1,8,18,0.0,0,0,94.56,0,1,0.0,0.17,25,20.73,4,0,1,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,26,21.73,0,0,0,0,0
1,1,1,0.0,2,4,469.0,0,2,0.02,3.0,27,22.73,5,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,28,23.73,0,0,0,0,0
1,1,1,0.0,0,0,0.0,0,0,0.0,0.0,29,24.72,10,0,0,0,0
1,1,1,0.0,6,0,310.0,0,2,1.01,12.0,30,25.71,11,0,0,0,0
1,5,6,0.729973,630,20,51.0,0,3,1.97,1.0,31,26.54,6,0,0,0,0
3,5,6,0.981591,37,23,188.67,0,4,44.72,3.33,23,17.64,11,0,0,0,0
1,1,1,0.0,5,0,15.0,0,1,199.35,1.0,32,27.47,4,0,0,0,0
2,10,57,5.594069999999999,5952,2,5.54,0,3,0.07,0.23,33,28.47,19,1,1,1,1
1,1,2,0.0,0,0,0.0,0,0,0.0,0.0,34,29.4,13,0,0,0,0
1,3,5,2.02566,37,9,68.2,0,1,84.52,0.6,58,50.03,56,0,0,0,0
1,1,1,0.0,1,1,69.0,0,2,6.62,4.0,59,51.01,0,0,0,0,0
2,3,8,0.605187,25,2,107.5,0,2,16.3,0.75,24,18.55,12,0,0,0,0
1,1,1,0.0,1,1,475.0,0,2,0.01,6.0,25,19.55,3,0,0,0,0
1,3,5,2.01741,22,11,357.0,1,5,39.85,4.2,26,20.55,11,0,0,0,0
2,2,2,0.970951,11,9,107.0,0,1,2.11,0.5,27,21.54,16,0,0,0,0
1,3,9,2.50583,1542,3,54.89,0,5,3.54,0.89,35,30.24,14,1,1,1,1
1,16,53,5.3973,155,142,154.72,0,1,20.66,0.62,60,51.73,57,0,0,0,0
1,2,2,0.9182959999999999,8,4,101.5,0,1,1.25,2.5,61,52.73,58,0,0,0,0
2,18,56,4.88685,830,837,144.86,0,5,9.61,0.8,63,54.6,62,1,1,1,1
1,2,2,0.6962119999999999,128,0,0.0,0,0,0.0,0.0,28,22.35,13,1,1,1,0
1,10,24,2.79562,273,271,98.63,0,4,5.06,0.58,64,55.47,3,1,1,1,1
1,1,1,0.0,8,0,161.0,0,1,3.27,6.0,65,56.29,61,0,0,0,0
1,1,1,0.0,2,1,169.0,0,1,0.1,7.0,66,57.28,62,0,0,0,0
2,29,53,4.7584599999999995,210,177,181.51,0,5,33.09,1.43,67,57.64,67,1,1,1,0
1,1,2,0.999411,30,5,65.5,0,1,6.02,1.5,68,58.36,64,0,0,0,0
1,12,37,4.81137,435,433,123.95,0,1,29.59,0.62,69,59.36,65,1,0,0,1
1,1,1,0.0,52,0,0.0,0,0,0.0,0.0,36,29.79,5,0,0,0,0
1,2,2,0.44886400000000004,28,4,123.5,0,1,13.27,6.0,70,58.96,66,0,0,0,0
1,1,1,0.0,52,0,0.0,0,0,0.0,0.0,37,30.37,6,0,0,0,0
1,1,1,0.0,0,52,52.0,0,1,5.91,1.0,38,31.37,7,0,0,0,0
1,1,1,0.0,36,0,52.0,0,1,0.0,1.0,29,22.2,8,0,0,0,0
1,1,2,0.9182959999999999,17,1,11.0,0,2,128.72,1.5,39,32.37,8,0,0,0,0
1,1,1,0.0,4,4,89.0,0,2,37.83,7.0,30,23.0,9,0,0,0,0
2,2,4,1.9183,6,6,343.25,0,4,20.95,8.5,31,24.0,19,0,0,0,0
1,1,1,0.0,13,0,109.0,0,2,0.08,5.0,32,25.0,6,0,0,0,0
2,2,2,0.965636,23,0,225.5,0,3,0.04,9.5,33,26.0,22,0,0,0,0
1,1,2,0.684038,95,4,53.5,0,3,18.62,4.5,34,27.0,10,0,0,0,0
1,1,1,0.0,12,0,107.0,0,2,0.18,9.0,35,27.98,11,0,0,0,0
1,1,1,0.0,18,1,91.0,0,2,0.8,3.0,40,32.99,9,0,0,0,0
1,2,6,2.58268,100,0,21.0,0,3,53.82,0.67,41,33.99,15,0,0,0,0
3,3,4,2.0,4,4,175.25,0,3,2.74,6.5,36,28.8,36,0,0,0,0
3,3,3,1.52193,5,5,197.67,0,3,0.85,8.33,37,29.74,39,0,0,0,0
1,1,1,0.0,18,1,119.0,0,2,0.07,12.0,38,30.74,14,0,0,0,0
1,1,1,0.0,256,333,559.0,0,1,237.39,1.0,42,34.66,10,0,0,0,0
1,1,1,0.0,3,3,183.0,0,1,27.06,4.0,1,0.59,0,0,0,0,0
1,1,1,0.0,1,0,24.0,0,1,12.21,3.0,43,35.39,11,0,0,0,0
2,2,2,0.9182959999999999,3,3,174.0,0,2,43.02,4.5,2,1.57,1,0,0,0,0
1,1,1,0.0,5,2,251.0,0,1,40.97,8.0,71,56.15,67,0,0,0,0
2,18,37,4.5461599999999995,180,149,162.78,0,3,50.49,0.65,72,56.8,73,1,1,1,1
1,1,1,0.0,1,1,108.0,0,2,22.05,5.0,44,35.02,12,0,0,0,0
1,1,1,0.0,1,1,460.0,0,4,25.12,17.0,45,36.02,16,0,0,0,0
1,1,1,0.0,1,1,475.0,0,3,25.12,9.0,46,37.02,8,0,0,0,0
1,1,1,0.0,1,1,460.0,0,4,0.01,18.0,47,38.02,17,0,0,0,0
1,1,1,0.0,1,1,475.0,0,3,0.01,10.0,48,39.02,9,0,0,0,0
3,3,4,1.66425,228,353,260.75,0,4,0.09,7.5,49,40.01,41,0,0,0,0
1,1,1,0.0,3,0,25.0,0,1,17.09,4.0,50,41.01,14,0,0,0,0
1,1,1,0.0,3,0,28.0,0,1,0.0,5.0,51,42.0,15,0,0,0,0
3,7,7,2.15257,167,28,101.14,0,4,0.03,4.43,52,43.0,46,0,0,0,0
1,1,1,0.0,7,2,14.0,0,2,29.36,3.0,53,44.0,17,0,0,0,0
3,4,5,1.4999799999999999,132,95,215.8,0,3,13.9,6.0,54,44.99,50,0,0,1,0
1,1,1,0.0,1,1,136.0,0,3,0.01,14.0,55,45.99,19,0,0,0,0
1,1,1,0.0,1,1,338.0,1,5,47.04,15.0,10,6.88,7,0,0,0,0
3,4,9,2.65286,252,157,155.0,0,3,2.16,3.67,56,46.91,54,1,1,1,1
1,2,7,2.53557,100,5,256.0,0,4,70.04,1.29,11,7.88,8,0,0,0,0
3,3,4,1.9749400000000001,6,3,243.5,0,4,0.47,8.25,57,47.9,57,0,0,0,0
1,1,1,0.0,3,3,167.0,0,2,0.0,10.0,58,48.9,22,0,0,0,0
1,1,1,0.0,1,1,302.0,0,3,0.02,14.0,59,49.9,15,0,0,0,0
1,1,1,0.0,1,1,109.0,0,2,0.09,6.0,60,50.9,16,0,0,0,0
2,2,2,0.0,1,1,68.0,0,3,23.99,8.0,61,51.9,46,0,0,0,0
1,1,1,0.0,30,1,262.0,0,2,73.75,11.0,75,58.53,71,0,0,0,0
1,1,1,0.0,10,5,291.0,0,2,3.77,12.0,76,59.04,72,0,0,0,0
2,8,11,2.90004,33,53,229.09,0,5,6.18,1.73,77,60.04,81,0,1,1,0
1,1,1,0.0,229,0,0.0,0,0,0.0,0.0,62,51.21,17,0,0,0,0
1,1,1,0.0,1,1,115.0,0,3,11.25,5.0,63,52.2,18,0,0,0,0
1,1,1,0.0,19,1,302.0,0,3,13.9,15.0,64,53.2,19,0,0,0,0
1,1,1,0.0,3,2,120.0,1,2,11.31,4.0,65,54.2,20,0,0,0,0
1,1,2,0.721928,9,1,77.5,0,2,42.25,4.0,66,55.2,21,0,0,0,0
1,2,2,0.6987,36,17,139.5,0,1,69.15,3.0,78,60.6,74,0,0,0,0
1,1,1,0.0,1,1,84.0,0,3,11.42,6.0,67,56.18,22,0,0,0,0
1,1,1,0.0,2,2,320.0,0,3,0.13,16.0,68,57.18,23,0,0,0,0
1,5,8,2.83855,21,21,167.38,0,2,6.41,1.0,69,58.17,24,1,0,0,0
1,1,1,0.0,2,2,317.0,0,2,4.29,8.0,70,59.06,25,0,0,0,0
1,1,1,0.0,2,2,204.0,0,2,4.32,8.0,71,60.05,24,0,0,0,0
1,1,1,0.0,1,1,204.0,0,2,0.02,9.0,72,61.05,25,0,0,0,0
1,1,1,0.0,20,11,131.0,1,2,4.41,8.0,73,62.04,26,0,0,0,0
1,1,1,0.0,2,2,140.0,0,2,0.0,9.0,74,63.04,27,0,0,0,0
1,1,1,0.0,7,2,218.0,0,1,1.64,7.0,79,61.38,75,0,0,0,0
1,1,2,0.9921840000000001,63,62,362.5,0,1,14.16,2.5,80,62.36,76,0,0,0,0
1,1,1,0.0,1,1,74.0,0,2,9.66,5.0,75,63.84,28,0,0,0,0
1,6,22,3.9382900000000003,94,94,137.27,0,2,56.69,1.0,81,63.25,77,1,0,0,0
1,7,12,1.6691599999999998,484,29,229.92,0,1,40.05,1.83,82,64.07,78,0,0,0,0
1,1,1,0.0,5,1,42.0,0,1,180.89,1.0,3,2.37,2,0,0,0,0
1,1,1,0.0,1,1,153.0,0,1,3.39,9.0,4,3.37,3,0,0,0,0
1,3,11,3.08352,42,64,251.36,0,1,31.27,1.91,83,64.68,79,0,0,0,0
2,6,11,2.66713,124,79,118.55,1,2,9.81,1.45,76,64.1,55,1,0,1,1
1,10,29,3.7596300000000005,367,398,158.21,0,2,39.17,1.03,84,65.52,80,1,1,1,1
1,4,4,1.67071,12,11,187.25,0,2,10.22,3.75,85,66.36,81,0,0,0,0
1,1,1,0.0,9,4,254.0,0,1,31.8,9.0,86,66.96,82,0,0,0,0
1,4,4,1.44861,76,59,209.5,0,3,14.15,4.75,87,67.95,83,0,0,0,0
1,1,1,0.0,1,1,71.0,0,1,4.02,1.0,5,4.31,4,0,0,0,0
2,3,7,1.5849600000000001,6,6,108.0,0,3,37.43,4.29,88,68.78,93,0,0,0,0
1,2,9,2.9574700000000003,386,175,169.89,0,2,32.19,0.78,77,61.85,30,0,0,0,0
1,2,3,1.15305,85,25,316.33,0,1,163.56,3.33,89,66.84,85,0,0,0,0
1,1,1,0.0,2,2,127.0,1,1,0.0,3.0,90,67.84,86,0,0,0,0
1,1,1,0.0,2,2,127.0,1,1,0.0,4.0,91,68.84,87,0,0,0,0
1,2,2,0.902393,132,0,0.0,0,0,0.0,0.0,93,67.05,89,1,0,0,0
2,4,10,2.69453,512,19,60.0,0,4,4.49,2.0,94,67.43,101,0,0,0,0
1,1,6,2.0124299999999997,108,17,69.0,0,1,0.52,0.17,95,68.35,12,0,0,0,0
1,2,6,2.20637,270,0,0.0,0,0,0.0,0.0,96,69.04,13,0,0,0,0
1,1,1,0.0,4,5,82.0,0,1,0.67,1.0,97,69.95,14,0,0,0,0
2,5,7,2.25928,858,2,51.29,0,2,1.26,2.29,98,70.61,106,0,0,0,0
1,5,7,2.74894,4,13,162.57,0,2,17.73,1.86,99,71.51,92,0,0,0,0
2,11,18,3.3642300000000005,57,66,213.22,0,5,17.16,2.67,100,72.5,109,0,0,0,0
1,1,1,0.0,2,2,256.0,0,1,3.84,1.0,6,4.6,5,0,0,0,0
1,1,2,0.818507,271,0,0.0,0,0,0.0,0.0,101,72.87,17,0,0,0,0
1,1,1,0.0,5,4,202.0,0,1,0.29,1.0,102,73.82,18,0,0,0,0
1,1,4,1.44185,270,5,68.0,0,1,0.35,0.5,103,74.74,19,0,0,0,0
1,1,5,1.93449,169,12,66.8,0,1,0.7,0.6,104,75.47,20,0,0,0,0
1,2,3,0.9664520000000001,21,2,159.33,0,2,11.5,6.33,105,76.47,94,0,0,0,0
2,2,2,0.22853800000000002,43,11,197.0,0,2,6.2,9.5,106,77.27,116,0,0,0,0
1,2,4,1.56186,55,71,114.25,0,2,57.19,3.25,107,77.94,96,0,0,0,0
1,2,2,0.23939699999999997,8,119,302.0,0,2,35.21,14.0,108,78.94,97,0,0,0,0
1,7,13,3.08933,87,26,176.15,0,1,68.8,1.92,109,79.62,98,1,0,0,0
3,15,25,3.59206,28,104,170.44,0,5,58.0,2.08,110,80.49,126,0,0,0,0
1,1,1,0.0,2,2,151.0,0,3,0.0,12.0,111,81.49,6,0,0,0,0
1,1,1,0.0,29,4,113.0,0,2,36.84,12.0,7,5.4,6,1,0,0,0
1,1,1,0.0,1,1,109.0,0,1,36.84,10.0,8,6.4,7,0,0,0,0
1,1,1,0.0,26,40,348.0,0,2,9.72,19.0,112,81.3,100,0,0,0,0
3,6,11,0.697892,20,616,117.36,0,3,90.71,1.55,113,82.14,131,0,0,0,0
2,4,4,0.725196,76,31,140.5,0,2,18.92,6.0,114,82.9,126,0,0,0,0
1,1,1,0.0,5,2,72.0,0,1,10.15,3.0,115,83.9,103,0,0,0,0
1,1,1,0.0,25,1,157.0,0,1,153.02,4.0,78,54.87,31,0,0,0,0
1,1,1,0.0,0,10,10.0,0,1,268.8,1.0,79,55.87,32,0,0,0,0
3,3,7,2.25445,17,17,230.43,0,4,83.3,9.29,80,56.87,84,0,0,0,0
1,3,3,0.855353,19,15,200.0,0,4,17.28,8.0,116,84.76,104,0,0,0,0
1,1,1,0.0,1,7,138.0,0,2,3.99,13.0,117,85.76,105,1,0,0,0
2,7,37,3.54181,6,1868,72.49,0,3,186.03,1.19,81,57.77,62,0,0,0,0
1,2,2,0.051289999999999995,49,124,177.5,0,3,0.01,12.0,82,58.77,35,0,0,0,0
2,3,4,0.46112299999999995,164,5,104.0,0,3,0.26,8.0,83,59.76,61,0,0,0,0
5,8,9,1.9556799999999999,231,23,123.67,0,4,95.33,4.56,84,60.64,92,0,0,0,0
3,3,3,1.03931,50,17,216.0,0,3,0.01,10.0,85,61.64,69,0,0,0,0
2,5,5,1.49269,45,22,318.2,0,2,30.27,7.0,118,86.39,131,0,0,0,0
3,4,5,1.8307200000000001,59,13,77.6,0,3,0.74,3.4,86,62.52,34,0,0,0,0
5,5,5,1.2042700000000002,148,127,181.2,0,3,0.38,7.8,87,63.52,103,0,0,0,0
5,5,5,2.32193,5,5,185.4,0,3,0.0,8.0,88,64.52,108,0,0,0,0
5,5,5,2.32193,5,5,185.4,0,3,0.01,8.2,89,65.52,113,0,0,0,0
4,4,4,2.0,4,0,198.0,0,3,0.0,10.5,90,66.52,112,0,0,0,0
5,5,5,2.19201,8,5,186.2,0,3,0.0,8.6,91,67.52,122,0,0,0,0
3,3,3,1.5,4,4,109.33,0,3,0.0,11.67,92,68.52,76,0,0,0,0
1,1,1,0.0,9,0,138.0,0,1,0.02,4.0,93,69.51,7,0,0,0,0
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,94,70.51,0,0,0,0,0
4,4,4,1.89346,45,32,199.0,0,3,0.02,11.25,95,71.51,123,0,0,0,0
1,1,1,0.0,1,0,147.0,0,1,0.01,5.0,96,72.51,8,0,0,0,0
4,4,4,2.0,4,4,202.25,0,3,0.01,11.5,97,73.51,127,0,0,0,0
4,4,4,2.0,4,4,202.25,0,3,0.0,11.75,98,74.51,131,0,0,0,0
4,4,4,2.0,4,4,202.25,0,3,0.0,12.0,99,75.51,135,0,0,0,0
1,1,1,0.0,1,1,148.0,0,1,0.01,6.0,100,76.51,9,0,0,0,0
4,4,4,2.0,12,12,202.25,0,3,0.0,12.25,101,77.51,139,0,0,0,0
4,4,4,2.0,12,12,202.25,0,3,0.0,12.5,102,78.51,143,0,0,0,0
4,4,4,2.0,4,4,202.25,0,3,0.06,12.75,103,79.5,147,0,0,0,0
1,1,1,0.0,69,2,148.0,0,1,0.06,7.0,104,80.5,10,0,0,0,0
4,4,4,2.0,12,12,202.25,0,3,0.07,13.0,105,81.49,151,0,0,0,0
4,4,4,2.0,4,4,202.25,0,3,0.01,13.25,106,82.49,155,0,0,0,0
4,4,4,2.0,4,4,202.25,0,3,0.0,13.5,107,83.49,159,0,0,0,0
4,4,4,2.0,4,4,202.25,0,3,0.0,13.75,108,84.49,163,0,0,0,0
1,2,5,2.06426,20,11,231.0,0,1,87.69,2.2,119,87.21,107,0,0,0,0
5,5,5,1.18639,137,98,204.8,0,3,0.29,12.0,109,85.43,178,0,0,0,0
1,1,1,0.0,1,1,395.0,0,3,0.53,45.0,110,86.33,56,0,0,0,0
